ticker,q,date,sentimiento,score_positivo,score_negativo,score_neutral,polaridad,kw_positivos,kw_negativos,kw_ratio,kw_categoria
AAPL,2023-Q1,"Feb 02, 2023, 5:00 p.m. ET",neutral,0.146,0.0199,0.8341,0.1261,0,1,-0.5,negativo
AAPL,2022-Q3,"Jul 28, 2022, 5:00 p.m. ET",neutral,0.2217,0.0314,0.7469,0.1903,2,2,0.0,neutral
TSLA,2022-Q2,"Jul 20, 2022, 5:30 p.m. ET",neutral,0.0517,0.0465,0.9019,0.0052,2,2,0.0,neutral
GOOGL,2020-Q4,"Feb 2, 2021, 5:00 p.m. ET",positive,0.8559,0.0197,0.1244,0.8362,3,0,0.75,positivo
NFLX,2020-Q4,"Jan 19, 2021, 6:00 p.m. ET",neutral,0.0686,0.0227,0.9087,0.0459,0,0,0.0,neutral
AAPL,2021-Q2,"Apr 28, 2021, 5:00 p.m. ET",positive,0.5473,0.02,0.4328,0.5273,2,0,0.6667,positivo
NVDA,2021-Q3,"Nov 17, 2021, 5:00 p.m. ET",neutral,0.1403,0.0201,0.8396,0.1202,1,1,0.0,neutral
GOOGL,2022-Q1,"Apr 26, 2022, 5:00 p.m. ET",neutral,0.3393,0.0114,0.6493,0.3279,1,2,-0.25,negativo
GOOGL,2020-Q3,"Oct 29, 2020, 4:30 p.m. ET",neutral,0.3926,0.0123,0.5951,0.3803,1,0,0.5,positivo
AMZN,2022-Q2,"Jul 28, 2022, 5:30 p.m. ET",positive,0.5041,0.0154,0.4805,0.4887,1,1,0.0,neutral
GOOGL,2019-Q1,"April 29, 2019, 4:30 p.m. ET",neutral,0.3042,0.0252,0.6706,0.279,1,2,-0.25,negativo
MSFT,2021-Q3,"Apr 27, 2021, 5:30 p.m. ET",neutral,0.2636,0.0105,0.7259,0.2531,0,0,0.0,neutral
JPM,2021-Q3,"Oct 13, 2021, 8:30 a.m. ET",neutral,0.1354,0.0703,0.7943,0.0651,0,0,0.0,neutral
AMD,2021-Q2,"Jul 27, 2021, 5:00 p.m. ET",positive,0.9547,0.0175,0.0278,0.9372,4,0,0.8,positivo
AMD,2021-Q1,"Apr 27, 2021, 5:00 p.m. ET",positive,0.509,0.0154,0.4756,0.4936,2,0,0.6667,positivo
AAPL,2022-Q1,"Jan 27, 2022, 5:00 p.m. ET",neutral,0.0854,0.0384,0.8762,0.047,0,4,-0.8,negativo
META,2021-Q4,"Feb 02, 2022, 5:00 p.m. ET",neutral,0.0941,0.0209,0.8851,0.0732,0,1,-0.5,negativo
AMZN,2020-Q2,"Jul 30, 2020, 5:30 p.m. ET",neutral,0.378,0.033,0.5891,0.345,1,0,0.5,positivo
TSLA,2021-Q2,"Jul 26, 2021, 5:30 p.m. ET",neutral,0.0645,0.0199,0.9156,0.0446,0,0,0.0,neutral
JPM,2021-Q4,"Jan 14, 2022, 8:30 a.m. ET",neutral,0.4487,0.0096,0.5417,0.4391,1,1,0.0,neutral
MSFT,2021-Q4,"Jul 27, 2021, 5:30 p.m. ET",neutral,0.124,0.0199,0.8561,0.1041,2,0,0.6667,positivo
AAPL,2021-Q1,"Jan 27, 2021, 5:00 p.m. ET",neutral,0.1431,0.0166,0.8404,0.1265,3,0,0.75,positivo
NFLX,2021-Q3,"Oct 19, 2021, 6:00 p.m. ET",neutral,0.1188,0.0162,0.8651,0.1026,0,0,0.0,neutral
AMZN,2021-Q1,"Apr 29, 2021, 5:30 p.m. ET",neutral,0.2071,0.0181,0.7747,0.189,1,0,0.5,positivo
META,2020-Q1,"Apr 29, 2020, 5:00 p.m. ET",positive,0.5443,0.0934,0.3623,0.4509,1,3,-0.4,negativo
TSLA,2019-Q4,"Jan 29, 2020, 6:30 p.m. ET",positive,0.9438,0.0181,0.0381,0.9257,1,0,0.5,positivo
GOOGL,2021-Q4,"Feb 01, 2022, 5:00 p.m. ET",neutral,0.3453,0.0135,0.6412,0.3318,0,0,0.0,neutral
GOOGL,2020-Q2,"Jul. 30, 2020, 4:30 p.m. ET",neutral,0.1431,0.0154,0.8416,0.1277,1,0,0.5,positivo
JPM,2021-Q2,"Jul 13, 2021, 8:30 a.m. ET",neutral,0.0926,0.0225,0.8848,0.0701,0,0,0.0,neutral
AMD,2021-Q3,"Oct 26, 2021, 5:00 p.m. ET",neutral,0.174,0.0107,0.8153,0.1633,1,0,0.5,positivo
META,2019-Q2,"Jul 24, 2019, 5:00 p.m. ET",neutral,0.1673,0.0153,0.8173,0.152,1,0,0.5,positivo
V,2021-Q4,"Oct 26, 2021, 5:00 p.m. ET",neutral,0.3412,0.0277,0.6311,0.3135,0,0,0.0,neutral
META,2022-Q2,"Jul 27, 2022, 5:00 p.m. ET",positive,0.5788,0.0932,0.328,0.4856,0,4,-0.8,negativo
MA,2020-Q4,"Jan 28, 2021, 9:00 a.m. ET",neutral,0.0813,0.0147,0.904,0.0666,0,1,-0.5,negativo
AAPL,2019-Q3,"Jul 30, 2019, 5:00 p.m. ET",positive,0.5477,0.0126,0.4397,0.5351,2,0,0.6667,positivo
GOOGL,2021-Q2,"Jul 27, 2021, 4:30 p.m. ET",positive,0.7664,0.0094,0.2242,0.757,2,0,0.6667,positivo
AAPL,2021-Q4,"Oct 28, 2021, 5:00 p.m. ET",neutral,0.0621,0.0375,0.9005,0.0246,0,1,-0.5,negativo
TSLA,2022-Q3,"Oct 19, 2022, 5:30 p.m. ET",positive,0.8189,0.12,0.0611,0.6989,1,1,0.0,neutral
V,2021-Q1,"Jan 28, 2021, 5:00 p.m. ET",neutral,0.3816,0.0156,0.6028,0.366,3,1,0.4,positivo
TSLA,2020-Q4,"Jan 27, 2021, 6:30 p.m. ET",neutral,0.1462,0.0174,0.8364,0.1288,0,0,0.0,neutral
META,2021-Q1,"Apr 28, 2021, 5:00 p.m. ET",neutral,0.2141,0.02,0.7659,0.1941,3,2,0.1667,positivo
NFLX,2021-Q2,"Jul 20, 2021, 5:00 p.m. ET",neutral,0.2225,0.0174,0.7601,0.2051,0,0,0.0,neutral
V,2022-Q2,"Apr 26, 2022, 5:00 p.m. ET",neutral,0.2222,0.0359,0.7419,0.1863,2,1,0.25,positivo
JPM,2020-Q4,"Jan 15, 2021, 8:30 a.m. ET",neutral,0.1155,0.0246,0.8599,0.0909,0,0,0.0,neutral
MA,2022-Q3,"Oct 27, 2022, 9:00 a.m. ET",positive,0.8543,0.0076,0.1381,0.8467,1,0,0.5,positivo
GOOGL,2022-Q2,"Jul 26, 2022, 5:00 p.m. ET",neutral,0.3624,0.011,0.6267,0.3514,3,0,0.75,positivo
AAPL,2020-Q3,"Jul 30, 2020, 5:00 p.m. ET",neutral,0.1512,0.0738,0.775,0.0774,1,1,0.0,neutral
MA,2022-Q2,"Jul 28, 2022, 9:00 a.m. ET",neutral,0.0825,0.0156,0.902,0.0669,0,0,0.0,neutral
TSLA,2019-Q3,"Oct 23, 2019, 6:30 p.m. ET",neutral,0.0681,0.0209,0.911,0.0472,1,2,-0.25,negativo
AMD,2022-Q1,"May 03, 2022, 5:00 p.m. ET",neutral,0.0813,0.0376,0.8811,0.0437,1,1,0.0,neutral
NFLX,2022-Q1,"Apr 19, 2022, 6:00 p.m. ET",neutral,0.1301,0.0156,0.8542,0.1145,0,0,0.0,neutral
AMZN,2022-Q1,"Apr 28, 2022, 5:30 p.m. ET",neutral,0.1131,0.0668,0.82,0.0463,0,0,0.0,neutral
AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",neutral,0.1291,0.0167,0.8542,0.1124,1,1,0.0,neutral
META,2021-Q3,"Oct 25, 2021, 5:00 p.m. ET",neutral,0.1671,0.0377,0.7952,0.1294,0,3,-0.75,negativo
V,2023-Q1,"Jan 26, 2023, 5:00 p.m. ET",neutral,0.3762,0.0118,0.612,0.3644,0,0,0.0,neutral
NFLX,2021-Q4,"Jan 20, 2022, 6:00 p.m. ET",neutral,0.2046,0.0176,0.7778,0.187,1,0,0.5,positivo
TSLA,2021-Q3,"Oct 20, 2021, 8:30 a.m. ET",neutral,0.2138,0.0523,0.734,0.1615,0,3,-0.75,negativo
MSFT,2023-Q2,"Jan 24, 2023, 5:30 p.m. ET",neutral,0.0953,0.0302,0.8744,0.0651,1,1,0.0,neutral
AMZN,2022-Q3,"Oct 27, 2022, 5:30 p.m. ET",neutral,0.3186,0.0216,0.6598,0.297,0,1,-0.5,negativo
AMZN,2021-Q2,"Jul 29, 2021, 5:30 p.m. ET",positive,0.5344,0.0243,0.4413,0.5101,2,1,0.25,positivo
NFLX,2021-Q1,"Apr 20, 2021, 6:00 p.m. ET",neutral,0.2657,0.0175,0.7168,0.2482,0,0,0.0,neutral
NVDA,2023-Q3,"Nov 16, 2022, 5:00 p.m. ET",neutral,0.1914,0.0151,0.7935,0.1763,2,0,0.6667,positivo
MSFT,2021-Q2,"Jan 26, 2021, 5:30 p.m. ET",neutral,0.1577,0.0121,0.8303,0.1456,0,0,0.0,neutral
MA,2021-Q2,"Jul 29, 2021, 9:00 a.m. ET",positive,0.6267,0.0091,0.3641,0.6176,1,0,0.5,positivo
V,2022-Q4,"Oct 25, 2022, 5:00 p.m. ET",neutral,0.2029,0.03,0.7671,0.1729,2,0,0.6667,positivo
TSLA,2021-Q1,"Apr 26, 2021, 5:30 p.m. ET",neutral,0.0873,0.0367,0.876,0.0506,0,0,0.0,neutral
MA,2021-Q1,"Apr 29, 2021, 9:00 a.m. ET",neutral,0.1996,0.0233,0.7771,0.1763,2,2,0.0,neutral
TSLA,2020-Q2,"Jul 22, 2020, 6:00 p.m. ET",neutral,0.0526,0.0292,0.9182,0.0234,1,1,0.0,neutral
JPM,2021-Q1,"Apr 14, 2021, 8:30 a.m. ET",neutral,0.0719,0.0197,0.9084,0.0522,0,0,0.0,neutral
AMZN,2021-Q3,"Oct 28, 2021, 5:30 p.m. ET",positive,0.5994,0.0186,0.382,0.5808,1,0,0.5,positivo
V,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",positive,0.8363,0.0076,0.1561,0.8287,1,0,0.5,positivo
JPM,2022-Q1,"Apr 13, 2022, 8:30 a.m. ET",neutral,0.0539,0.053,0.8931,0.0009,0,1,-0.5,negativo
AMZN,2019-Q1,"April 25, 2019, 5:30 p.m. ET",neutral,0.1999,0.0537,0.7464,0.1462,2,1,0.25,positivo
JPM,2022-Q3,"Oct 14, 2022, 8:30 a.m. ET",neutral,0.0719,0.0805,0.8476,-0.0086,0,0,0.0,neutral
