ticker,date,q,texto
AAPL,"Feb 02, 2023, 5:00 p.m. ET",2023-Q1,"at this move to sort of higher ASPs that has happened over the last few years is sustainable? Or could it sustain in this very tough macro environment that you've cited? Tim Cook -- Chief Executive Officer I wouldn't want to predict, but I would say that the smartphone for us -- the iPhone has become so integral into people's lives. It contains their contacts and their health information and their banking information and their smart home and so many different parts of their lives, their payment vehicle and -- for many people. And so I think people are willing to really stretch to get the best they can afford in that category. Wamsi Mohan -- Bank of America Merrill Lynch -- Analyst OK. Great. And Tim, you clearly emphasize the focus and importance of the installed base. If we think about the absolute grit of the installed base from 1 billion to 2 billion over 7 years from a device standpoint, how should we think about the penetration of services or the growth in paying customers on services or that time frame? Is that penetration rate increasing or decreasing? How fast is that growing relative to the growth of the overall installed base? Luca Maestri -- Chief Financial Officer Wamsi, it's Luca. Yes, of course, we keep track of that. It's really important for us. Over the last seven years, as we doubled the installed base, we've seen a growing engagement of our customers on the platform. That happens, first of all, by customers transacting on the platform and then moving to paid accounts. So starting to pay for some of the services. That percentage of paid accounts tends to grow over time. We've seen it in developed markets. We see it in emerging markets. And that is due to some of the reasons that I was explaining earlier, including the fact that we made it easier for our customers to get engaged on the platform. For example, we offer multiple payment methods in many countries. And we've made it easier to explore for more services because we've added a lot of services on the platform over the last seven years. So to your question, of course, higher engagement means a higher percentage of paid accounts over time. Wamsi Mohan -- Bank of America Merrill Lynch -- Analyst OK. Thank you. Tejas Gala -- Director, Investor Relations and Corporate Finance All right. Thanks, Wamsi. Can we have the next question, please? Operator Our next question comes from Richard Kramer of Arete Research LLP. Tejas Gala -- Director, Investor Relations and Corporate Finance Operator, can we move on to the next? Operator Richard? OK. Next we'll hear from Jim Suva of Citigroup. Jim, your line is open. If you can release your mute function, we are unable to hear you. Jim Suva -- Citi -- Analyst Tim and Luca, you both mentioned earlier on the Q&A a little bit about India. I was wondering if we're now entering a situation of even more opportunity because we've exited COVID. We've exited countries with different COVID criteria. We've also seen India build out its higher-speed transmissions. And your market is -- shares tremendously underrepresented there. And it appears with the supply chain, you're looking at diversifying kind of operational risk, not specific to any country, but just overall. Now you look at potentially opening up stores and stuff. Am I right that, that's the way you look at it is it's even more prime for opportunity now than ever? And once you start opening up stores there, you could just see a complete green shoots of adoptions or any additional commentary on your view on India as now we've navigated COVID and supply chain and so many challenges over the past two years? Thank you, gentlemen. Tim Cook -- Chief Executive Officer Yes. Jim, we actually did fairly well through COVID in India. And I'm even more bullish now on the other side of it, or hopefully, on the other side of it. And that's the reason why we're investing there. We're bringing retail there and bringing the online store there and putting a significant amount of energy there. I'm very bullish on India. Jim Suva -- Citi -- Analyst Thank you. And then as my quick follow-u"
AAPL,"Jul 28, 2022, 5:00 p.m. ET",2022-Q3,"ell, and iPhone tends to be the engine for those markets, particularly at the beginning of creating the market there for Apple products. And so we're really looking at all of these things from the installed base to the number of switchers to the geographic distribution. Of course, the most important thing for us is to maintain an incredible customer satisfaction and loyalty from the customers. And we're really pleased that it's currently at 98% for the latest iPhones. And so those are the things that underpin it. 5G has been an accelerant. And the 5G penetration, particularly if you look at it globally, is still quite low. In some geographies, it's obviously higher, but around the world, 5G penetration is still low. And so I think there's reason to be optimistic. Erik Woodring -- Morgan Stanley -- Analyst OK, that's helpful. And then maybe, Luca, for you. As we move from the June to the September quarter, maybe can you dig a level deeper and kind of help us understand some of the moving pieces in the services business? Meaning where do you think we could see an acceleration or maybe a deceleration? And should we still expect double-digit growth? If you could just frame that for us, that would be great. Luca Maestri -- Chief Financial Officer Yes, Erik. I mentioned in my prepared remarks that we expect some deceleration from the 12% that we've had in the June quarter. Keep in mind, we're going to see, on a year-over-year basis, 600 basis points, 6% impact from foreign exchange so that is a big element for us. Also keep in mind that we're still lapping the impact of our business in Russia in these numbers. And Tim mentioned that there are some pockets of weakness, primarily in digital advertising that we will need to work through. But at the same time, our Services business a year ago grew a lot and so also the compare is a bit challenging. So we don't have a very specific number to give out today. Of course, we expect to grow. We will see how the quarter develops. Operator We'll take our next question from Richard Kramer with Arete Research. Richard Kramer -- Arete Research -- Analyst Tim, you cited growth in Apple apps in the past, and clearly, the privacy policies you've taken have really reshaped the mobile ad market. Can you give us a sense of how you see Apple's role as an ad network and perhaps helping developers to monetize not just app sales but also growing ad monetization over time? Tim Cook -- Chief Executive Officer Yes. Richard, we view privacy as a fundamental human right. And so what we try to do with all of our features on privacy is put the decision back at the user where we believe it belongs as to whether they want to share their data or not. And so that was what was behind application tracking transparency and a number of other features. We're trying to empower the user to own their data and make their own choices. In terms of us selling ads, we have a search ad business across the App Store that we believe represents a great way for discovery for small and large developers. And so I see that we play a role in that. Richard Kramer -- Arete Research -- Analyst And then maybe my follow-up for Luca. Can you give us a sense, especially now that you're launching Pay Later, what steps you might be taking to improve affordability of Apple products? We know that it's going to be a tight time economically for people around the world. And how do you see the evolution of various payment plans out of the -- you see in the U.S. now into other markets, especially emerging markets? Luca Maestri -- Chief Financial Officer Yes. I mean, obviously, affordability is a very important topic for us. It's been for many years. Buy now, pay later is the latest that we are doing on this front. Fundamentally, we are working on two major initiatives for affordability. One is installment plans and installment plans have become more widespread around the world, not only here in the United States but in most markets, particularly in emerging markets. Incredibly important in terms of reducing the affordability threshold. And trading p"
TSLA,"Jul 20, 2022, 5:30 p.m. ET",2022-Q2,"ed the batteries for two of the pillars of sustainability, the stationary storage and for vehicles. So yeah. Drew Baglino -- Senior Vice President, Powertrain and Energy Engineering Yeah, I just want to stress that a lot of these higher energy density technologies are not necessarily scalable. I mean, most of them are not scalable from what I've seen. And so like focusing on them is a distraction from the mission, like it really is how do we scale as fast as possible? And we're taking these risks that we've discussed at Battery Day. And our plan is as we derisk them and they are successful, we want to bring them back to our partners so that they can go faster, too, because that's all on the mission, right, like how do we accelerate. Elon Musk -- Chief Executive Officer and Product Architect People often ask me, if you often ask me, is some breakthrough needed in battery technology for the world to transition to sustainability? The answer is no. Even if there was zero technology breakthroughs, so it literally zero from where the technology is right now, we could fully transition Earth to sustainable energy. The issue is very much the rate at which the entire supply chain from mining to refining to cell production. How fast can that grow? It's growing fast with the faster it grows, the faster we transition to a sustainable energy economy. Pierre Ferragu -- New Street Research -- Analyst This is actually a great -- exactly where my follow-up is. So, Elon, you always mention this 50% per annum sustainable growth target that you guys have. And so my question here is when we see like the difficulty regarding the commodities, raw materials, swinging prices, I'm kind of wondering, as you are planning for this 50% per annum growth, if we stand today over the next five to 10 years, how much of that do you feel you've secured through your work at entering into long-term contracts and things like that? And you were calling for entrepreneurs to go into the lithium business. So, does that mean you don't have enough lithium secured to grow 50% per annum over multiple years? And what's -- how much of that is secured today? And how fast can you improve that basically? Elon Musk -- Chief Executive Officer and Product Architect Well, I think it's kind of very difficult to predict anything 10 years from now. I hope civilization is still around, frankly. I don't count that as a win. Pierre Ferragu -- New Street Research -- Analyst Not that fun. Elon Musk -- Chief Executive Officer and Product Architect Yeah, exactly. Hopefully, we haven't had World War III by then. So the -- we do see constraints in refining of the materials necessary for lithium ion batteries. I do want to emphasize this as -- it is not due to a scarcity of the raw material. In the case of lithium, lithium is one of the most common elements on Earth. It's pretty much everywhere. But refining of the lithium into ultra-high purity battery-grade lithium hydroxide, lithium carbonate is quite difficult and requires a massive amount of machinery and it's a hard thing to scale. As it was also difficult to create the anode and cathode. I think -- my guess is maybe two-thirds of batteries will be iron phosphate or maybe iron phosphate with some manganese. And there's plenty of -- there's a ridiculous amount of iron. In fact, Earth is -- a little bit of trivia. says, what is Earth made of more than anything else? Iron. Iron is the No. 1 ingredient of Earth by mass. No. 2 is oxygen, which is wild. Yes. Basically rust. Actually, we're stuck together. We're a rust ball. That's roughly -- that's almost two-thirds of Earth, I think, is rust. We are like a rusty ball bearing with a little bit of other stuff. So -- but plenty of lithium. So anyway, there's not like a shortage of materials. Drew Baglino -- Senior Vice President, Powertrain and Energy Engineering But the other thing on the LFP thing is that it isn't just that there's more access to material that way. The actual refining process is less capital intensive to make a good LFP cathode. And so there's -- it's not just scalable on"
GOOGL,"Feb 2, 2021, 5:00 p.m. ET",2020-Q4,"aordinary opportunities we see, given the usefulness of our products and services in this environment. The investment pace will ramp up over the course of the year. As for Google Cloud, we've obviously been investing aggressively, given the substantial market opportunity we see. Under Thomas Kurian's leadership, we further accelerated investment to strengthen the position of the business. For example, we are on track to meet our near-term goal of tripling the size of the Cloud Direct sales force and have greatly expanded the partner channel. We've also substantially improved our product offering, while rationalizing our approach to focus on our six key industry verticals and we've invested in expanding our network of locations for compute capacity to support Cloud, ending 2020 serving customers in 24 regions and 73 zones. We're encouraged by the momentum in the growth of revenue and customer wins. We more than doubled revenues over the last two years from $5.8 billion in 2018 to $13.1 billion in 2020. Our backlog, which is nearly all attributable to Cloud, nearly tripled from 2019 to 2020. Although increases in backlog do not directly correlate to revenue trends, the growth in backlog demonstrates the success Google Cloud is having with large enterprises, which are signing meaningful long-term commitment agreements. Looking forward, we will continue to focus on revenue growth driven by ongoing investment in products and the go-to-market organization. Cloud's operating loss reflects that we have meaningfully built out our organization ahead of revenues, as we've discussed in prior quarters with respect to the substantial investments in our go-to-market organization as well as engineering and technical infrastructure. Operating loss and operating margin will benefit from increased scale over time. In addition, we are focused on delivering on efficiency efforts across the board to contribute incrementally to profitability over time. Finally, as you can see from the historical data provided in the press release, Cloud's operating loss was higher in the first quarter relative to other quarters. And then the operating loss improves thereafter. We expect similar seasonality in 2021. In terms of Other Bets, we continue to invest with a focus on the long-term value creation opportunity. On headcount, we plan to reaccelerate the pace of hiring in Google Services in line with our opportunities. Our headcount growth will also reflect the addition of Fitbit and our ongoing transition of certain customer support roles from third-party vendors to Google's in-house operation centers. We also plan to continue to prioritize investment in both sales and technical roles for Google Cloud. Turning to capex at a consolidated level. The year-on-year results this quarter again reflect the slower pace throughout 2020 of investment in office facilities. Within technical infrastructure, servers continued to be the largest driver of investment in the fourth quarter followed by data centers. Looking ahead, we expect a return to a more normalized pace of ground-up construction and fit-out of office facilities, which translates into a sizable increase in capex in 2021. Servers will continue to be the largest driver of spend on technical infrastructure. Finally, a housekeeping point. As noted in our earnings press release, we have adjusted the estimated useful lives of servers and certain network equipment starting in 2021. We expect these changes will favorably impact our 2021 operating results by approximately $2.1 billion for assets as of year-end 2020. We look forward to the year ahead. Hope everyone stays safe. Thank you. And now Sundar, Philipp and I will take your questions. Questions and Answers: Operator Thank you. [Operator Instructions] And our first question comes from Eric Sheridan from UBS. Your line is now open. Eric Sheridan -- UBS -- Analyst Thank you so much for taking the question. And I hope everyone is safe and well on the team there as well. Maybe I'll try first on Cloud. I don't know if it's better to Sundar or to Ruth, but can yo"
NFLX,"Jan 19, 2021, 6:00 p.m. ET",2020-Q4,"ut he's a voice about how to build large subscription businesses, which he's done. He's enormously sophisticated at dealing with governments, which, as we grow, is an increasingly important skill for us to have. So think of him as a great global advocate for us. He also knows Europe very well and the rest of the world reasonably well. So I think it's -- we've been broadening our global board membership, and it's a continuation of that. And again, Africa has a ton of potential. We're doing more content there. We're growing our membership. But again, that's not Strive's role specifically. Kannan Venkateshwar -- Barclays -- Analyst And just looking at the rest of the world, I mean, there's been a lot of small transactions. And Spencer, this one might be for you, and I'm sure the others will chime in as well. But there have been a couple of streaming services in Southeast Asia, which, essentially, were acquired by some of the Chinese Internet majors. Sony, of course, did the acquisition of Crunchyroll. So there's been interesting assets which could have helped you scale potentially faster but obviously passed on it or did not really show any interest in these assets. So could you help us think through what kind of assets you guys would care about? Is it more like the Millarworld assets? Or why are these assets not interesting? Spencer Wang -- Vice President, Investor Relations and Corporate Development Sure. To answer the first question, Kannan, with respect to other streaming services, our view is many people subscribe to multiple different services. So acquiring another one just for their members doesn't really help us. And we wanted to stay focused on capturing and earning that subscription from each person organically rather than just doing some sort of M&A deal. So that's sort of point one. Point two, in terms of your other question around what are we interested in, it is largely around things that can help us bolster our core business, which is entertainment and specifically content assets inclusive of things like intellectual property that we can hopefully turn into great TV shows and great movies. Ted Sarandos -- Co-Chief Executive Officer and Chief Content Officer I would just add that historically, we've been builders, not buyers. And years ago, I used to try to get the team to wrap their head around the potential scale of the business by saying things like someday we'll be so big, we'll have a VP of anime. And then some days now, we're one of the largest producers of anime in the world. So you think about those kind of things now, and it's like what would you -- when you look at those assets, they're primarily distribution assets, not really IP assets. So that's -- and we've been taking the approach like with our unscripted programming, with our anime, with our animated features, with the big budget original film, we're building over a couple of years versus acquiring. Spencer Wang -- Vice President, Investor Relations and Corporate Development We have time for one more question, please. Kannan Venkateshwar -- Barclays -- Analyst Got it. Spencer, maybe -- sorry, Reed, I'll ask you this final question more with respect to the longer-term outlook for the business. And Ted, obviously, feel free to chime in as well on this one. But is there any regrets you guys have had in terms of things that you guys could have done but did not do? And one instance that comes to mind is something like Roku, if it was part of the company instead of being spun out. And also when you look at the competitive landscape, what do you perceive as the real competition? Is it streaming services? Or does it come from outside, from things like Fortnite, which you've mentioned in the past as an engagement driver for consumers? Ted Sarandos -- Co-Chief Executive Officer and Chief Content Officer Reed? Reed Hastings -- Co-Chief Executive Officer I think it was directed to Spencer. So I was going to -- I was going to see how he answers this one. Spence Neumann -- Chief Financial Officer I could take a stab at it. I mean -- and then I'll pass it ove"
AAPL,"Apr 28, 2021, 5:00 p.m. ET",2021-Q2,"n Cross with Cross Research. Please go ahead. Shannon Cross -- Cross Research LLC -- Analyst Tim, I had sort of a big picture question on iPhone. I'm just curious, there are so many different things happening in this cycle, 5G, pandemic. How are you thinking about the opportunity for refreshing the installed base and attracting new customers? And are you seeing lives shorten given some of the programs that are being put out there by the carriers and by yourself? Just kind of maybe big picture, if you can talk about what you're seeing in terms of iPhone out there in the market. Tim Cook -- Chief Executive Officer Sure, Shannon. We saw double-digit increases on a year-over-year basis on both the new to iPhone and upgraders. And in fact, in the March quarter, there was actually a record number of upgraders for a March quarter. And so, we like what we see. It's obviously the early days of 5G. Different countries are in different points. But penetration is still -- on a global level, is still low at this point. And so, a lot of the 5G upgrades will be in front of us, not behind us. You see in China, things have moved quickly to 5G. They're moving quickly in the United States. But a lot of the other regions are slower to adopt and slower to gain coverage in 5G. Shannon Cross -- Cross Research LLC -- Analyst OK. And then, Luca, can you talk about gross margin? I mean, 42% is higher than it's been that I can kind of remember actually at this point. So maybe if you talk about the drivers of gross margin. And maybe if there were any offsets from higher component costs or the logistics costs that obviously were overshadowed by currency and other things. Luca Maestri -- Chief Financial Officer Yeah, Shannon. Yes, we did 42.5% during March, and we've guided to similar, slightly lower levels for June. So for March, we were up 270 basis points sequentially, really driven by three major factors. Cost savings, which has been good for us during the cycle. A really strong mix, a strong mix on iPhone, but in general, across all product categories, and that obviously was helpful. And foreign exchange sequentially, again, from December to March, was favorable 90 basis points. So that helped as well. So those are the three major factors there. As we transition into June, as you know, that we will expect some level of deleverage but that will be offset by cost savings. Foreign exchange doesn't have much of an impact as we go from March to June. Shannon Cross -- Cross Research LLC -- Analyst Thank you. Tejas Gala -- Director, Investor Relations, and Corporate Finance Thanks, Shannon. Operator We'll now take our next question from Amit Daryanani with Evercore. Amit Daryanani -- Evercore ISI -- Analyst Thank you for taking my question. I have two as well. First one, just on services. I think 90 days ago, the expectation was that line item would decelerate a little bit into the March quarter. It turned out it actually accelerated for us. I'd like to just understand what do you think drove that acceleration specifically? And is mid-20% sort of the growth norm as we go forward for services? Luca Maestri -- Chief Financial Officer So Amit, the -- our services business did better than what we were expecting when we had the last call in January. It was stronger across the board. One of the things that we've noticed is that throughout COVID was that obviously digital services have done very well. And then, we've had a couple of categories like Apple Care because many of the points of sale and stores were closed and advertising because of the reduced economic activity that were negatively affected during COVID. During the March quarter, we've seen a return to growth on Apple Care and obviously, we've reopened a lot of the stores during the course of the quarter. And advertising, obviously, consumer sentiment has improved, and advertising is coming back. And so, the combination of these factors really delivered this very, very strong performance during the March quarter. As we look ahead, as you know, we don't provide specific guidance for our product cate"
NVDA,"Nov 17, 2021, 5:00 p.m. ET",2021-Q3,"n even demonstrate it to you that in many areas we have seen million X speed up and has completely revolutionized those industries, computer graphics is of course one of them. Omniverse would not be possible without it. And so the work that we're doing with digital biology, protein synthesis, which is likely going to be one of the large industries of the world that doesn't exist today at all. Protein engineering and the protein economy is likely going to be very, very large. You can't do that unless you are able to get million X speed up in the simulation of protein biology. And so those are -- and not to mention some of the most imperative comps that we have to build and engage. Climate science needs million X, billion X speed up and we are at a point where we can actually tackle that. And so in each one of these cases we have performed, we have to focus our resources to go and accelerate those applications and that translates to growth. Until then, they run on GPUs. And we look at a lot of today speech synthesis and speech recognition system, it still uses fairly traditional or mixture of traditional and deep learning approaches for speech AI. NVIDIA Riva is the world's first, I believe, that is end to end deep neural network. And we've worked with many companies in helping them advance there, so that they could move their clouds to our neural-based approaches. But that's one of the reasons why we do it, so that we could provide the reference, but we can also license it to enterprises around the world, so that they could advance it for their own use cases. And so one application after another we have to get it accelerated, one domain after another we have to get it accelerated. One of the ones that we're excited about and something that we've been working on for so long is EDA, even our own industry, Electronic Design Automation, for the very first time we announced the EDA using GPU accelerated computing, whether it's because of the artificial intelligence capability, because EDA is very large combinatorial optimization program and using artificial intelligence you could really improve the design quality and design time. So we're seeing from all the major game vendors, from chip design to simulation to PCB design and optimization, design synthesis, moving toward artificial intelligence and GPU acceleration in a very significant. And then we see that with a mechanical CAD and traditional CAD application now also jumping on to GPU acceleration is getting very significant speed ups. And so I'm super excited about the work that we're doing in each one of these domains. Because every time you do it, you open up brand new market and customers that never used NVIDIA GPUs now can, because ultimately people don't buy chips, it cannot solve problems. Without a full stack, without software expertise, you can't really commence the enabling technology, what the chip provide and ultimately solve the customers' problems. Operator Your final question comes from the line of Timothy Arcuri from UBS. Timothy, your line is open. Timothy Arcuri -- UBS -- Analyst Thanks a lot. Colette, I had a question about gross margin. Are there any margin headwinds maybe on the wafer pricing side that we should sort of think about normalizing out, because gross margin is pretty flat between fiscal Q2 and fiscal Q4. But I imagine that's kind of masking a strong underlying margin growth, especially as Data Center has been actually driving that growth. So I'm wondering if maybe there are some underlying factors that are sort of gating gross margin? Thanks. Colette Kress -- Executive Vice President and Chief Financial Officer Yes. So we have always been working on our gross margin and being able to absorb a lot of the cost changes along the way, architecture-to-architecture really. So that's always based into our gross margin. Our gross margins right now are largely stable. Our incremental revenue, for example, what we're expecting next quarter will likely align to our current gross margin levels that we finished in terms of Q3. Our largest driver always c"
GOOGL,"Apr 26, 2022, 5:00 p.m. ET",2022-Q1,"ome Depot improve their call containment by 185%, creating a more positive customer support experience. We are proud to share that more than 700 technology partners power their applications with our data cloud. Third, our open secure infrastructure remains a differentiator as it enables customers to run their workloads and apps where they need them. This is winning global brands like Dun & Bradstreet, Boeing, and Kyocera. Our product leadership continued with the release of Tau VMs, which powers price performance that's more than 40% better than any other leading cloud; and Google Distributed Cloud Edge, a new edge solution designed to run telecommunication networks at scale, which is helping Bell Canada evolve its 5G network. And we further expanded our regional footprint globally. Leading companies like Mahindra are choosing us for large-scale IT transformations and migrating their data centers to Google Cloud, while Sony's Crunchyroll uses our infrastructure and networking capabilities to power the largest anime streaming service in the world. Our scalability enables Ninja Van, the leading logistics provider in Southeast Asia, to handle more than 10x their normal traffic during peak times. Finally, we continue to advance Google Workspace. To support hybrid work, we recently introduced new collaboration features, including bringing Google Meet directly into Google Docs, Sheets, and Slides. You can now see and hear your team as you collaborate in real time without the need to schedule meetings. Google Meet can now live stream to up to 100,000 people who can also participate in Q&A and polls. We also launched the next wave of innovation in Google Docs with smart canvas, including auto-generated summaries and pageless format in Docs, smart chips, and automating workflow using Gmail. Smart canvas has seen very rapid uptake with more than 6 million checklists and 6 million smart chips being added to documents each week. These innovations are helping employees adapt to hybrid work at large enterprises like Equifax and Ocean Network Express, digital natives including Flipkart and organizations like the University of Alberta. Finally, our other bets. This month, Waymo became the first company to run fully autonomous ride-hailing operations in multiple locations simultaneously. Today, employees can take rider-only trips in San Francisco, joining the growing number of public Waymo One riders in Phoenix. Wing launched its on-demand drone deliveries in the Dallas-Fort Worth area. In the first quarter of 2022, Wing completed over 50,000 commercial deliveries. That's up more than three times year over year. As you know, sustainability continues to be a big focus for us. In addition to our own ambitious goals to operate on 24/7 carbon-free energy by 2030, we recently joined Frontier, a new coalition with Stripe and many others, jointly committing more than $900 million to accelerate carbon removal solutions. Before I close, we remain deeply concerned about the war in Ukraine and the humanitarian crisis unfolding in the region. While I was in Warsaw, Poland last month, I met with many leaders across Central and Eastern Europe to reaffirm our commitment to the region. We are finding ways for our products and platforms to be helpful, including enhanced features on Search to help refugees find resources. Across all these efforts, I feel inspired by the ways that our teams at Google work to help people in moments big and small. With that, let me thank Googlers everywhere for their contributions this quarter. Over to you, Philipp. Questions & Answers: Operator Thank you. [Operator instructions] And our first question comes from Brian Nowak from Morgan Stanley. Your line is now open. Brian Nowak -- Morgan Stanley -- Analyst Thanks for taking my question. I have two. The first one, Ruth, wondering, could you talk to us at all about sort of the shape of the ad business growth throughout the first quarter, understanding there's some uncertainty around Ukraine, etc.? And then what have you seen sort of quarter to date in the overall Search bus"
GOOGL,"Oct 29, 2020, 4:30 p.m. ET",2020-Q3,"dware. How does hardware and broadly tying the Assistant into the hardware strategy fit broadly, Sundar, into your view for where the Search is going for the medium to long term? Thanks so much. Sundar Pichai -- Chief Executive Officer, Google Thanks, Eric. Good questions. On Search you're right, today, particularly with mobile and with ambient computing, that is you having access to computing across other form factors. I think information both you go looking for it and there are time it's important that you have relevant information at your fingertips. So, I do think about it as a holistic user journey. And obviously in Search, we'll continue to evolve. Discover has been very good in terms of -- Discover and YouTube, both play a role in making sure people are getting relevant information and I think for us it's important, holistically, we are meeting user's information needs and out of which the monetization opportunity also works as well. So long -- this is why, be it Discover or be it how we pick up on YouTube, all of that matters for us. On your second question, on Hardware, I'm excited about the -- we are doing some deeper investments in hardware, which are -- some of it takes two to three years to come together and so I'm excited at the terrific roadmap ahead. I think we have definitely shown with Pixel 4A, Pixel 5, clear value proposition and we'll build on that. Our portfolio, we are thoughtfully thinking about what are the important form factors which matters and we do think about it with the view of where Search and Assistant will be important as well. So in many ways hardware is there to strategically benefit both how we guide the Android ecosystem, how do we make sure information is right there at user's fingertips? And so those are both strategic views we take into it as well. But I'm excited about the roadmap ahead. And next year, you will see us lean more into -- some of our deeper investments will come into play there. Operator Thank you. And our next question comes from Doug Anmuth from J.P. Morgan. Your line is now open. Doug Anmuth -- J.P. Morgan -- Analyst Thanks for taking the question. Ruth we appreciate the incremental color on 3Q and 4Q expenses. Was just hoping that you could help us understand the cost structure a little bit more kind of as we're coming out of this. And just whether you're anticipating any more notable changes, just coming out of the pandemic kind of around the sustainability of the margin improvements that you saw in this quarter? Thanks. Ruth M. Porat -- Senior Vice President and Chief Financial Officer, Alphabet and Google Thanks for that Doug. So, as I said, as a result of COVID, we did make tactical adjustments to slow the pace of spend in certain categories, and that started late in the first quarter and in part that's what you see here, plus the impact from the improvements in revenue performance. And we do remain focused on optimizing efficiency where we can. We've said that on many prior calls, but as we've also discussed with you on prior calls as well as Sundar and I noted today, we are committed to making the right investments to support long-term profitable growth. And I think what's exciting in this environment, there appears to be an acceleration in digital transformation that underscores the importance of the products and services that we provide and the longer-term opportunity. So we will continue to invest to best position us for the long-term opportunity. An obvious example is Cloud. We do intend to maintain a high level of investment, given the opportunity we see. That includes the ongoing increases in our go-to-market organization, our engineering organization as well as the investments to support the necessary capex. So hopefully that gives you a bit more color there. Doug Anmuth -- J.P. Morgan -- Analyst Thank you. Operator Thank you. And our next question comes from Heather Bellini from Goldman Sachs. Your line is now open. Heather Bellini -- Goldman Sachs -- Analyst Great, thank you very much for taking the question. Sundar, I had a question for you. Jus"
AMZN,"Jul 28, 2022, 5:30 p.m. ET",2022-Q2,"rkets. And that's investments in Prime Video, not just in some of the flagship shows that are kind of sourced here in the U.S., but also you've seen us continue to push for opportunities for -- in country and local language, video content that resonates with customers and can be a meaningful reason people sign up for the Prime program, engage and renew. And we're also investing depending on the regions and kind of the local structure, infrastructure, for lack of a term, whether that's building out payment methods, third-party transportation services, even in some cases, the Internet and the telecom infrastructure. So we're playing a role along with others. It's not just us investing in ways to create and enable that infrastructure to be successful. So those are some of the opportunities and challenges that as you think about kind of where we are in the U.S. versus international that are out there, the network complexities. Of course, there are some regulatory hurdles and other differences out there. But we think it's important to continue to invest in those opportunities and learn from what we're -- not just in what we've done in the history with the U.S., but also in many of these countries and keep that flywheel spinning and continue to serve customers in more efficient ways. Operator Our next question comes from Youssef Squali with Truist Securities. Youssef Squali -- Truist Securities -- Analyst I have two questions. One, can you discuss the impact the price action you took on Prime, on merchant fees, etc., ahead on retention during the quarter? And do you feel that that's enough to offset the inflationary pressures we're seeing to date. And then on Buy with Prime, I know it's early, but how do you see the rollout of this initiative from it being by invitation only today to whole merchants using FBA to off Amazon merchants, etc. And just kind of the implications on broader implications on the business from that initiative. Brian Olsavsky -- Chief Financial Officer Sure. Thank you, Youssef. So first on the -- let's take them one at a time. So on the Prime fee increase earlier in the year. We're happy with the results we're seeing in the Prime program. Prime member membership and retention is still strong. I think that change has been above our expectations positively. And I think the benefit of the program continues to get better and better. And as I mentioned, in-stock has never been higher. Delivery speed is increasing. So not to mention a lot of the new content, especially on the video side that will be coming in the fall. So we feel good about the program and the state of the Prime members after a very rough couple of years of pandemic turmoil, and we think it's a good base to build upon. So on the seller fee, again, we added that fee grudgingly in May to compensate for some of the inflationary pressures we're seeing. I don't want to give you the idea that either of those fee increases came close to covering our costs. You can see from our operating results, some of it's internal related, but a lot of it's external factors that there -- we are not passing through that at 100% to external groups. And it's -- we've got to work our way out of the condition we're in. And we're making good progress in Q2 and expect to keep pressing on that in the second half of the year. But we saw strength in the seller results in Q2, as we mentioned on the percentage mix. So I think sellers are -- sellers business remains strong and an integral part of our customer offering. Dave Fildes -- Director, Investor Relations Youssef, this is Dave. On your Buy with Prime question, yes. I mean, right now, it's allowing U.S.-based Prime members to shop directly from merchants on the online stores. And it's with the experience they expect and kind of come to expect with Amazon. That's the fast free delivery, that seamless checkout, and free returns on orders that are eligible. It is -- right now, the program is available, as you mentioned, invitation-only for merchants that are already using FBA, and it will expand throughout this year as we'll"
